ID,Address,Owner,AssessedValue
1,"123 Main St","Smith","350000"
2,"456 Elm St","Johnson","420000"
3,"789 Oak Ave","Lee","390000"
1,"1 Main St","Smith","408369"
2,"2 Main St","Johnson","363112"
3,"3 Main St","Brown","494194"
4,"4 Main St","Jones","478393"
5,"5 Main St","Garcia","467026"
6,"6 Main St","Miller","423158"
7,"7 Main St","Davis","403736"
8,"8 Main St","Martinez","635929"
9,"9 Main St","Wilson","395580"
10,"10 Main St","Anderson","571208"
11,"11 Main St","Thomas","366663"
12,"12 Main St","Taylor","365622"
13,"13 Main St","Moore","399123"
14,"14 Main St","Martin","464629"
15,"15 Main St","Lee","471981"
16,"16 Main St","Perez","614951"
17,"17 Main St","Harris","363912"
18,"18 Main St","Clark","644254"
19,"19 Main St","Lewis","454248"
20,"20 Main St","Robinson","635706"
21,"21 Main St","Smith","569949"
22,"22 Main St","Johnson","465574"
23,"23 Main St","Brown","585514"
24,"24 Main St","Jones","495852"
25,"25 Main St","Garcia","353407"
26,"26 Main St","Miller","433707"
27,"27 Main St","Davis","571571"
28,"28 Main St","Martinez","528389"
29,"29 Main St","Wilson","495684"
30,"30 Main St","Anderson","431516"
31,"31 Main St","Thomas","462886"
32,"32 Main St","Taylor","526472"
33,"33 Main St","Moore","403587"
34,"34 Main St","Martin","398625"
35,"35 Main St","Lee","549191"
36,"36 Main St","Perez","400707"
37,"37 Main St","Harris","538208"
38,"38 Main St","Clark","530331"
39,"39 Main St","Lewis","488685"
40,"40 Main St","Robinson","372780"
41,"41 Main St","Smith","590870"
42,"42 Main St","Johnson","631137"
43,"43 Main St","Brown","415444"
44,"44 Main St","Jones","548461"
45,"45 Main St","Garcia","391313"
46,"46 Main St","Miller","639428"
47,"47 Main St","Davis","503709"
48,"48 Main St","Martinez","539600"
49,"49 Main St","Wilson","450814"
50,"50 Main St","Anderson","386466"
51,"51 Main St","Thomas","374025"
52,"52 Main St","Taylor","469484"
53,"53 Main St","Moore","501722"
54,"54 Main St","Martin","391833"
55,"55 Main St","Lee","472049"
56,"56 Main St","Perez","402953"
57,"57 Main St","Harris","549295"
58,"58 Main St","Clark","495738"
59,"59 Main St","Lewis","587717"
60,"60 Main St","Robinson","541277"
61,"61 Main St","Smith","435277"
62,"62 Main St","Johnson","544081"
63,"63 Main St","Brown","536264"
64,"64 Main St","Jones","459842"
65,"65 Main St","Garcia","489973"
66,"66 Main St","Miller","387435"
67,"67 Main St","Davis","439725"
68,"68 Main St","Martinez","630043"
69,"69 Main St","Wilson","478351"
70,"70 Main St","Anderson","435669"
71,"71 Main St","Thomas","592357"
72,"72 Main St","Taylor","548943"
73,"73 Main St","Moore","491530"
74,"74 Main St","Martin","642002"
75,"75 Main St","Lee","465141"
76,"76 Main St","Perez","520017"
77,"77 Main St","Harris","379327"
78,"78 Main St","Clark","470087"
79,"79 Main St","Lewis","366829"
80,"80 Main St","Robinson","515388"
81,"81 Main St","Smith","560325"
82,"82 Main St","Johnson","490373"
83,"83 Main St","Brown","384701"
84,"84 Main St","Jones","460615"
85,"85 Main St","Garcia","647365"
86,"86 Main St","Miller","514981"
87,"87 Main St","Davis","461477"
88,"88 Main St","Martinez","611740"
89,"89 Main St","Wilson","557425"
90,"90 Main St","Anderson","590570"
91,"91 Main St","Thomas","424905"
92,"92 Main St","Taylor","488873"
93,"93 Main St","Moore","423206"
94,"94 Main St","Martin","479303"
95,"95 Main St","Lee","644318"
96,"96 Main St","Perez","632579"
97,"97 Main St","Harris","487752"
98,"98 Main St","Clark","574622"
99,"99 Main St","Lewis","559400"
100,"100 Main St","Robinson","539790"
